Road Code,Section Code,Road Name,Section Name,Direction,AVERAGE DAILY TRAFFIC - PCU,AVERAGE DAILY TRAFFIC - ADT,Private Vehicles,Trucks - Light,Trucks - Medium,Trucks - Heavy,Buses
F0106,010,ΚΑΚΟΡΑΤΖΙΑ - ΣΤΑΥΡΟΒΟΥΝΙ,ΚΑΚΟΡΑΤΖΙΑ - ΣΤΑΥΡΟΒΟΥΝΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,2234,1192,547,124,64,441,16
F0107,010,ΚΟΦΙΝΟΥ - ΑΛΑΜΙΝΟΣ,ΚΟΦΙΝΟΥ - ΑΛΑΜΙΝΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1342,1025,693,173,93,18,47
F0108,010,ΣΚΑΡΙΝΟΥ - ΖΥΓΙ,ΣΚΑΡΙΝΟΥ - ΑΓΙΟΣ ΘΕΟΔΩΡΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1357,1038,476,402,89,52,18
F0108,020,ΣΚΑΡΙΝΟΥ - ΖΥΓΙ,ΑΓΙΟΣ ΘΕΟΔΩΡΟΣ - ΖΥΓΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,843,645,497,49,52,35,11
F0110,010,ΚΑΤΩ ΔΡΥΣ - ΒΑΒΛΑ,ΚΑΤΩ ΔΡΥΣ - ΒΑΒΛΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,812,641,506,49,36,26,23
F0111,010,ΛΕΥΚΑΡΑ - ΛΥΘΡΟΔΟΝΤΑΣ,ΛΕΥΚΑΡΑ - ΒΑΒΑΤΣΙΝΙΑ ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,604,524,431,54,26,7,7
F0111,020,ΛΕΥΚΑΡΑ - ΛΥΘΡΟΔΟΝΤΑΣ,ΒΑΒΑΤΣΙΝΙΑ - ΛΥΘΡΟΔΟΝΤΑΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,59,41,16,16,7,2,0
F0112,010,ΟΡΑ - ΟΔΟΥ,ΟΡΑ - ΟΔΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,150,123,104,6,6,3,5
F0113,010,ΒΑΒΑΤΣΙΝΙΑ - ΑΓΙΟΙ ΒΑΒΑΤΣΙΝΙΑΣ,ΒΑΒΑΤΣΙΝΙΑ - ΑΓΙΟΙ ΒΑΒΑΤΣΙΝΙΑΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,309,250,188,32,16,5,9
F0114,010,ΟΡΑ - ΑΚΑΠΝΟΥ,ΟΡΑ - ΑΚΑΠΝΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,205,178,78,87,6,6,2
F0115,010,Β1 - ΨΕΜΑΤΙΣΜΕΝΟΣ,Β1 - ΨΕΜΑΤΙΣΜΕΝΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1359,976,315,470,123,57,11
F0116,010,Β1 - ΤΟΧΝΗ,Β1 - ΤΟΧΝΗ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,0,0,0,0,0,0,0
F0117,010,ΑΣΓΑΤΑ - ΣΑΝΙΔΑ,ΑΣΓΑΤΑ - ΒΑΣΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,941,766,549,129,48,22,18
F0117,020,ΑΣΓΑΤΑ - ΣΑΝΙΔΑ,ΒΑΣΑ - ΣΑΝΙΔΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,238,197,141,35,11,5,5
F0122,010,ΠΑΡΕΚΚΛΗΣΙΑ - ΠΥΡΓΟΣ,ΠΑΡΕΚΚΛΗΣΙΑ - ΠΥΡΓΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1359,1158,615,442,51,35,14
F0124,010,ΕΦΤΑΓΩΝΙΑ - ΑΚΑΠΝΟΥ,ΕΦΤΑΓΩΝΙΑ - ΑΚΑΠΝΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0125,010,ΑΜΑΘΟΥΝΤΑ - ΑΓΙΟΣ ΤΥΧΩΝΑΣ,ΑΜΑΘΟΥΝΤΑ - ΑΓΙΟΣ ΤΥΧΩΝΑΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0126,010,ΑΜΑΘΟΥΝΤΑ - ΑΡΜΕΝΟΧΩΡΙ,ΑΜΑΘΟΥΝΤΑ - ΑΡΜΕΝΟΧΩΡΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,456,319,157,93,50,14,5
