objectid,id_centrale,code_centrale,libelle_centrale,annee,libelle_groupage,type_compteur,type_comptage,nb_canaux,nb_annee,code_canal,mja_jo,mja_tcj,mja_pl_tcj,hp_johvs_matin,hp_johvs_soir,tir_tcj,v85ma_tcj,vtma_tcj,descriptif_periode,time_days,name,oneway,ref_mmm,highway,nom_commune,cycles,osm_id
5923,75614,104623,MONTPELLIER . Impasse Flouch,2024,Toulouse _ Roussel,compteur ponctuel,comptage bidirectionnel,3,1,0,303,268,2,49 (8h00 - 9h00),38 (17h15 - 18h15),1,26,15,du 22/01/2024 au 30/01/2024,8,Impasse Flouch,YES, ,residential,Montpellier, ,360745650
5924,75614,104623,MONTPELLIER . Impasse Flouch,2024,Roussel_Toulouse,compteur ponctuel,comptage bidirectionnel,3,1,1,14,10,0,1 (12h00 - 13h00),1 (13h30 - 14h30),,26,15,du 22/01/2024 au 30/01/2024,8,Impasse Flouch,YES, ,residential,Montpellier, ,360745650
2392,864,104845,MONTPELLIER. Avenue de la Liberte (Celleneuve),2024,Sens cumulés,compteur permanent,comptage bidirectionnel,3,9,Z,37767,36464,,,,,,,du 01/01/2024 au 04/11/2024,308,Avenue de la Liberté,UNKNOWN, ,primary,Montpellier, ,330503036
2390,864,104845,MONTPELLIER. Avenue de la Liberte (Celleneuve),2024,Grezes_Garrats,compteur permanent,comptage bidirectionnel,3,9,0,19772,19049,,1381 (7h00 - 8h00),1241 (17h00 - 18h00),5,26,15,du 01/01/2024 au 04/11/2024,308,Avenue de la Liberté,UNKNOWN, ,primary,Montpellier, ,330503036
2391,864,104845,MONTPELLIER. Avenue de la Liberte (Celleneuve),2024,Garrats_Grezes,compteur permanent,comptage bidirectionnel,3,9,1,17995,17415,,1210 (8h00 - 9h00),1224 (16h00 - 17h00),44,59,46,du 01/01/2024 au 04/11/2024,308,Avenue de la Liberté,UNKNOWN, ,primary,Montpellier, ,330503036
5954,761,105550,MONTPELLIER. Route de Vauguieres,2024,Vinci-Titien,compteur ponctuel,comptage unidirectionnel,1,2,0,387,323,5,65 (7h45 - 8h45),48 (17h15 - 18h15),54,39,27,du 22/04/2024 au 30/04/2024,8,Route de Vauguières,YES, ,residential,Montpellier, ,361469889
6011,1391,106098,GRABELS. RM127E3 4053,2024,Sens cumulés,compteur tournant,comptage bidirectionnel,3,6,Z,5620,5066,75,,,,,,du 07/03/2024 au 26/07/2024,141,Route de Montferrier,UNKNOWN, ,tertiary,Grabels, ,292037894
6010,1391,106098,GRABELS. RM127E3 4053,2024,RM986_RM127,compteur tournant,comptage bidirectionnel,3,6,1,2924,2613,41,221 (8h15 - 9h15),411 (17h30 - 18h30),22,84,73,du 07/03/2024 au 26/07/2024,141,Route de Montferrier,UNKNOWN, ,tertiary,Grabels, ,292037894
6009,1391,106098,GRABELS. RM127E3 4053,2024,RM127_RM986,compteur tournant,comptage bidirectionnel,3,6,0,2696,2453,34,403 (7h15 - 8h15),200 (17h00 - 18h00),31,87,76,du 07/03/2024 au 26/07/2024,141,Route de Montferrier,UNKNOWN, ,tertiary,Grabels, ,292037894
4156,867,10634,MONTPELLIER. Avenue Achille Duchene,2024,Sens cumulés,compteur ponctuel,comptage bidirectionnel,3,2,Z,709,678,2,,,,,,du 11/06/2024 au 18/06/2024,7,Avenue Achille Duchène,UNKNOWN, ,residential,Montpellier, ,26590170
4155,867,10634,MONTPELLIER. Avenue Achille Duchene,2024,Adanson-Percier,compteur ponctuel,comptage bidirectionnel,3,2,1,366,341,1,28 (8h15 - 9h15),37 (17h15 - 18h15),51,43,27,du 11/06/2024 au 18/06/2024,7,Avenue Achille Duchène,UNKNOWN, ,residential,Montpellier, ,26590170
4154,867,10634,MONTPELLIER. Avenue Achille Duchene,2024,Percier-Adanson,compteur ponctuel,comptage bidirectionnel,3,2,0,343,337,1,38 (7h45 - 8h45),27 (16h45 - 17h45),71,46,33,du 11/06/2024 au 18/06/2024,7,Avenue Achille Duchène,UNKNOWN, ,residential,Montpellier, ,26590170
8860,1214,10676,MONTAUD. RM21 1009,2024,Sens cumulés,compteur tournant,comptage bidirectionnel,3,7,Z,8720,8000,73,,,,,,du 20/03/2024 au 28/08/2024,161, ,UNKNOWN, ,secondary,Saint-Drézéry, ,25402435
8858,1214,10676,MONTAUD. RM21 1009,2024,RM118_RM26E3,compteur tournant,comptage bidirectionnel,3,7,0,4396,4026,37,865 (7h15 - 8h15),275 (13h15 - 14h15),60,85,73,du 20/03/2024 au 28/08/2024,161, ,UNKNOWN, ,secondary,Saint-Drézéry, ,25402435
8859,1214,10676,MONTAUD. RM21 1009,2024,RM26E3_RM118,compteur tournant,comptage bidirectionnel,3,7,1,4324,3974,36,294 (11h45 - 12h45),707 (17h30 - 18h30),81,88,78,du 20/03/2024 au 28/08/2024,161, ,UNKNOWN, ,secondary,Saint-Drézéry, ,25402435
7577,83472,1094,MONTPELLIER. Rue Pierre d'Auvergne,2024,Sens cumulés,compteur ponctuel,comptage bidirectionnel,3,1,Z,893,817,1,,,,,,du 24/04/2024 au 01/05/2024,7,Rue Pierre d'Auvergne,UNKNOWN, ,unclassified,Montpellier, ,9501980
7575,83472,1094,MONTPELLIER. Rue Pierre d'Auvergne,2024,Altier_Bigot,compteur ponctuel,comptage bidirectionnel,3,1,0,447,414,0,35 (8h15 - 9h15),38 (17h00 - 18h00),53,39,27,du 24/04/2024 au 01/05/2024,7,Rue Pierre d'Auvergne,UNKNOWN, ,unclassified,Montpellier, ,9501980
7576,83472,1094,MONTPELLIER. Rue Pierre d'Auvergne,2024,Bigot_Altier,compteur ponctuel,comptage bidirectionnel,3,1,1,446,403,1,30 (11h45 - 12h45),61 (17h00 - 18h00),73,44,32,du 24/04/2024 au 01/05/2024,7,Rue Pierre d'Auvergne,UNKNOWN, ,unclassified,Montpellier, ,9501980
6251,13,109625,RM986 MARIE THE - MMT34.y,2024,Sens cumulés,compteur permanent,comptage bidirectionnel,3,12,Z,35605,32709,856,,,,,,du 09/01/2024 au 03/11/2024,299,Route de Ganges,YES, ,primary,Montpellier, ,221392846
6249,13,109625,RM986 MARIE THE - MMT34.y,2024,6300.00 1,compteur permanent,comptage bidirectionnel,3,12,0,18184,16733,459,1965 (7h00 - 8h00),1166 (17h00 - 18h00),0,68,59,du 09/01/2024 au 03/11/2024,299,Route de Ganges,YES, ,primary,Montpellier, ,221392846
6250,13,109625,RM986 MARIE THE - MMT34.y,2024,6300.00 2,compteur permanent,comptage bidirectionnel,3,12,1,17421,15976,397,1186 (12h00 - 13h00),2002 (17h00 - 18h00),22,97,81,du 13/06/2024 au 03/11/2024,143,Route de Ganges,YES, ,primary,Montpellier, ,221392846
1117,1815,110400,LATTES. RM58 Mas de Gau (Velos),2024,Sens cumulés,compteur permanent vélo,comptage bidirectionnel,3,4,Z,1066,1208,,,,,,,du 01/01/2024 au 04/11/2024,308, ,UNKNOWN, ,path,Lattes,Voie verte et assimilé,253757735
1116,1815,110400,LATTES. RM58 Mas de Gau (Velos),2024,Velos sens 2,compteur permanent vélo,comptage bidirectionnel,3,4,w,539,614,,37 (10h00 - 11h00),57 (17h00 - 18h00),,,,du 01/01/2024 au 04/11/2024,308, ,UNKNOWN, ,path,Lattes,Voie verte et assimilé,253757735
1115,1815,110400,LATTES. RM58 Mas de Gau (Velos),2024,Velos sens 1,compteur permanent vélo,comptage bidirectionnel,3,4,v,523,589,,57 (8h00 - 9h00),54 (17h00 - 18h00),,,,du 01/01/2024 au 04/11/2024,308, ,UNKNOWN, ,path,Lattes,Voie verte et assimilé,253757735
4019,985,111970,MONTPELLIER. Boulevard Berthelot,2024,Michel_Vieussens,compteur feux,comptage unidirectionnel,1,8,0,7870,7664,,487 (12h00 - 13h00),504 (14h00 - 15h00),,,,du 01/01/2024 au 29/10/2024,302,Boulevard Berthelot,NO, ,secondary,Montpellier, ,284243055
5154,83546,11325,RESTINCLIERES. RM118E3,2024,RM610_Puits,compteur ponctuel,comptage unidirectionnel,1,1,1,1226,1101,15,125 (8h00 - 9h00),167 (17h30 - 18h30),,26,15,du 19/06/2024 au 27/06/2024,8,Route de Beaulieu,UNKNOWN, ,tertiary,Restinclières, ,27228034
3326,83557,11367,MONTPELLIER . Rue des Reves,2024,Sens cumulés,compteur ponctuel,comptage bidirectionnel,3,1,Z,635,610,1,,,,,,du 05/09/2024 au 12/09/2024,7,Rue des Rêves,UNKNOWN, ,residential,Montpellier, ,27246984
3325,83557,11367,MONTPELLIER . Rue des Reves,2024,Chévrefeuille_Glycines,compteur ponctuel,comptage bidirectionnel,3,1,1,451,423,1,43 (8h15 - 9h15),47 (16h45 - 17h45),50,39,26,du 05/09/2024 au 12/09/2024,7,Rue des Rêves,UNKNOWN, ,residential,Montpellier, ,27246984
3324,83557,11367,MONTPELLIER . Rue des Reves,2024,Glycines_Chévrefeuille,compteur ponctuel,comptage bidirectionnel,3,1,0,184,187,0,22 (8h30 - 9h30),18 (16h45 - 17h45),33,36,22,du 05/09/2024 au 12/09/2024,7,Rue des Rêves,UNKNOWN, ,residential,Montpellier, ,27246984
6374,83528,113791,MONTPELLIER. Rue Claude Levi-Strauss,2024,Sens cumulés,compteur ponctuel,comptage bidirectionnel,3,1,Z,1510,1381,,,,,,,du 10/01/2024 au 16/01/2024,6,Rue Claude Lévi-Strauss,UNKNOWN, ,residential,Montpellier, ,244238707
6372,83528,113791,MONTPELLIER. Rue Claude Levi-Strauss,2024,Justes_Mericourt,compteur ponctuel,comptage bidirectionnel,3,1,0,775,705,,106 (8h00 - 9h00),69 (16h00 - 17h00),,25,14,du 10/01/2024 au 16/01/2024,6,Rue Claude Lévi-Strauss,UNKNOWN, ,residential,Montpellier, ,244238707
