JAHR;MONAT;ZNR;ZNAME;STRTYP;STRNR;RINAME;FZTYP;DTVMS;DTVMF;DTVMO;DTVDD;DTVFR;DTVSA;DTVSF;TVMAX;TVMAXT
2024;MÄRZ;1189;Shuttleworthstraße;B;229;Gesamt;LkwÄ;890;1200;1282;1252;1012;312;162;1348;Mi,20.03.
2024;MÄRZ;1190;Angyalföldstraße;B;3;Kagran;Kfz;6179;6631;6486;6545;6953;6247;4213;7056;Fr,22.03.
2024;MÄRZ;1190;Angyalföldstraße;B;3;Kagran;LkwÄ;195;253;268;261;219;84;63;307;Di,19.03.
2024;MÄRZ;1190;Angyalföldstraße;B;3;Floridsdorf;Kfz;5702;6104;5906;6042;6410;5622;4095;6607;Fr,15.03.
2024;MÄRZ;1190;Angyalföldstraße;B;3;Floridsdorf;LkwÄ;147;199;216;207;164;44;35;231;Mo,25.03.
2024;MÄRZ;1190;Angyalföldstraße;B;3;Gesamt;Kfz;11881;12734;12392;12586;13363;11869;8309;13644;Fr,15.03.
2024;MÄRZ;1190;Angyalföldstraße;B;3;Gesamt;LkwÄ;342;451;484;468;384;128;98;534;Di,19.03.
2024;MÄRZ;1191;Wientalstraße;B;1;Zentrum;Kfz;23613;24718;23876;24529;25844;22625;19964;26223;Fr,15.03.
2024;MÄRZ;1191;Wientalstraße;B;1;Zentrum;LkwÄ;751;951;956;986;863;433;231;1040;Do,14.03.
2024;MÄRZ;1191;Wientalstraße;B;1;St. Pölten;Kfz;22329;23495;22135;23325;24990;21833;17927;25565;Fr,22.03.
2024;MÄRZ;1191;Wientalstraße;B;1;St. Pölten;LkwÄ;676;863;888;896;763;360;207;971;Do,14.03.
2024;MÄRZ;1191;Wientalstraße;B;1;Gesamt;Kfz;45942;48212;46010;47854;50834;44458;37891;51701;Fr,15.03.
2024;MÄRZ;1191;Wientalstraße;B;1;Gesamt;LkwÄ;1427;1814;1844;1882;1626;792;439;2011;Do,14.03.
2024;MÄRZ;1192;Hauptstraße;G;0;Zentrum;Kfz;5497;5898;5770;5776;6294;5608;3699;6656;Fr,15.03.
2024;MÄRZ;1192;Hauptstraße;G;0;Zentrum;LkwÄ;291;357;370;361;334;182;125;389;Do,21.03.
2024;MÄRZ;1192;Hauptstraße;G;0;St. Pölten;Kfz;6214;6643;6374;6514;7167;6369;4257;7582;Fr,15.03.
2024;MÄRZ;1192;Hauptstraße;G;0;St. Pölten;LkwÄ;303;369;370;376;348;194;138;411;Mi,20.03.
2024;MÄRZ;1192;Hauptstraße;G;0;Gesamt;Kfz;11710;12541;12145;12289;13461;11978;7956;14238;Fr,15.03.
2024;MÄRZ;1192;Hauptstraße;G;0;Gesamt;LkwÄ;594;725;740;738;682;376;263;794;Mi,20.03.
2024;MÄRZ;1193;Heiligenstädter Straße;B;14;Zentrum;Kfz;15808;17179;16759;17348;17110;13910;11945;18126;Mi,20.03.
2024;MÄRZ;1193;Heiligenstädter Straße;B;14;Zentrum;LkwÄ;622;812;849;843;708;294;154;922;Mi,27.03.
2024;MÄRZ;1193;Heiligenstädter Straße;B;14;Klosterneuburg;Kfz;15668;16980;16685;17170;16759;13697;12129;18011;Mi,20.03.
2024;MÄRZ;1193;Heiligenstädter Straße;B;14;Klosterneuburg;LkwÄ;627;820;866;851;708;286;156;916;Mo,04.03.
2024;MÄRZ;1193;Heiligenstädter Straße;B;14;Gesamt;Kfz;31476;34159;33444;34518;33869;27607;24074;36137;Mi,20.03.
2024;MÄRZ;1193;Heiligenstädter Straße;B;14;Gesamt;LkwÄ;1249;1632;1715;1694;1416;579;310;1833;Mi,27.03.
2024;MÄRZ;1194;Prager Straße;B;3;Zentrum;Kfz;4875;5441;5254;5270;6000;5120;2255;6192;Fr,22.03.
2024;MÄRZ;1194;Prager Straße;B;3;Zentrum;LkwÄ;167;220;230;222;206;77;38;240;Do,14.03.
2024;MÄRZ;1194;Prager Straße;B;3;Langenzersd.;Kfz;4706;5263;5071;5119;5762;4951;2122;5846;Fr,22.03.
2024;MÄRZ;1194;Prager Straße;B;3;Langenzersd.;LkwÄ;161;213;212;218;201;75;32;258;Mi,20.03.
2024;MÄRZ;1194;Prager Straße;B;3;Gesamt;Kfz;9581;10704;10325;10389;11761;10071;4377;12038;Fr,22.03.
2024;MÄRZ;1194;Prager Straße;B;3;Gesamt;LkwÄ;329;432;442;440;406;152;70;496;Mi,20.03.
2024;MÄRZ;1195;Wagramer Straße;B;8;Zentrum;Kfz;3362;3754;3748;3757;3753;3000;2080;3986;Mo,11.03.
2024;MÄRZ;1195;Wagramer Straße;B;8;Zentrum;LkwÄ;139;181;190;185;163;65;40;224;Do,28.03.
2024;MÄRZ;1195;Wagramer Straße;B;8;Süßenbrunn;Kfz;3437;3793;3728;3780;3876;3171;2207;4031;*Do,28.03.
2024;MÄRZ;1195;Wagramer Straße;B;8;Süßenbrunn;LkwÄ;153;195;195;197;189;90;39;236;*Do,28.03.
2024;MÄRZ;1195;Wagramer Straße;B;8;Gesamt;Kfz;6800;7548;7477;7537;7629;6171;4288;7923;*Do,28.03.
2024;MÄRZ;1195;Wagramer Straße;B;8;Gesamt;LkwÄ;292;375;386;382;352;155;79;460;*Do,28.03.
2024;MÄRZ;1196;Erzherzog-Karl-Str.;B;3;Groß-Enzersdorf;Kfz;10340;11327;10961;11236;11835;9487;7048;12169;Fr,08.03.
2024;MÄRZ;1196;Erzherzog-Karl-Str.;B;3;Groß-Enzersdorf;LkwÄ;245;316;324;330;278;112;78;365;Di,19.03.
