"ID","Nimetus","Liik","Staatus","Maakond","Tee nimi","Tee nr","Tee km","Lat","Lon","Kanalid ehk sõidurajad"
"f16bf","Pappsaare 2","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Pärnu maakond","Pärnu-Lihula tee","60","4.940","58.4019623","24.4224625","1: Lane 3 | 2: Lane 4"
"01d10","Parila","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Saare maakond","Kuressaare-Kihelkonna-Veere tee","78","4.627","58.27949","22.43394","1: Kuressaare - Kihelko | 2: Kihelkonna - Kuressa"
"6026e","Partsi","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Hiiu maakond","Heltermaa-Kärdla-Luidja tee","80","19.602","58.97214","22.82383","1: Heltermaa - Kärdla | 2: Kärdla - Heltermaa"
"82315","Pataste","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Tartu maakond","Jõhvi-Tartu-Valga tee","3","109.883","58.55086","26.75375","1: Jõhvi - Tartu | 2: Tartu - Jõhvi"
"f262f","Patika","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Harju maakond","Tallinna-Tartu-Võru-Luhamaa tee","2","17.200","59.31701","24.9299278","1: Tallinn - Tartu 1 | 2: Tallinn - Tartu 2 | 3: Tartu - Tallinn 3 | 4: Tartu - Tallinn 4"
"0f55c","Peetri","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Harju maakond","Tallinna-Tartu-Võru-Luhamaa tee","2","7.050","59.39074","24.82742","1: Tallinn - Tartu 1 | 2: Tallinn - Tartu 2 | 3: Tartu - Tallinn 3 | 4: Tartu - Tallinn 4"
"31b9f","Peoleo","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Harju maakond","Tallinna-Pärnu-Ikla tee","4","15.639","59.3326","24.60318","1: Tallinn - Pärnu 1 | 2: Tallinn - Pärnu 2 | 3: Pärnu - Tallinn 1 | 4: Pärnu - Tallinn 2"
"ffe53","Pikknurme","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Jõgeva maakond","Tallinna-Tartu-Võru-Luhamaa tee","2","144.492","58.59243","26.25194","1: Tallinn - Tartu | 2: Tartu - Tallinn"
"25785","Prügila rist","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Harju maakond","Tallinna-Narva tee","1","17.794","59.45134","25.0444336","1: Tallinn - Narva 1 | 2: Tallinn - Narva 2 | 3: Narva - Tallinn 1 | 4: Narva - Tallinn 2"
"","Puiatu","PÜSILOENDUSPUNKT","Aktiivne: ei ole avaandmetes","Viljandi maakond","Tartu - Viljandi - Kilingi-Nõmme tee","92","84.6","","",""
